Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.800000 | Iris-virginica Prob.: 0.200000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.600000 | Iris-virginica Prob.: 0.400000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.400000 | Iris-virginica Prob.: 0.600000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.800000 | Iris-virginica Prob.: 0.200000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.400000 | Iris-virginica Prob.: 0.600000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.400000 | Iris-virginica Prob.: 0.600000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.400000 | Iris-virginica Prob.: 0.600000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.400000 | Iris-virginica Prob.: 0.600000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.200000 | Iris-virginica Prob.: 0.800000 | 
