Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 1.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.666667 | Iris-virginica Prob.: 0.333333 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.666667 | Iris-virginica Prob.: 0.333333 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 1.000000 | Iris-virginica Prob.: 0.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.333333 | Iris-virginica Prob.: 0.666667 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.333333 | Iris-virginica Prob.: 0.666667 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.333333 | Iris-virginica Prob.: 0.666667 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
Iris-setosa Prob.: 0.000000 | Iris-versicolor Prob.: 0.000000 | Iris-virginica Prob.: 1.000000 | 
